tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI
1/1/2021,60,0,20,40,5724,4575,261,888,NUSA TENGGARA BARAT
1/1/2021,14,0,1,13,2181,1204,49,928,NUSA TENGGARA TIMUR
1/1/2021,99,0,61,38,15402,13861,584,957,KALIMANTAN SELATAN
1/1/2021,35,1,102,-68,3829,2147,58,1624,KALIMANTAN UTARA
1/1/2021,13,2,1,10,1954,1552,36,366,SULAWESI BARAT
1/1/2021,2,1,0,1,2773,2353,90,330,MALUKU UTARA
1/1/2021,147,3,144,0,25113,23220,585,1308,RIAU
1/1/2021,233,13,113,107,12388,8288,272,3828,DAERAH ISTIMEWA YOGYAKARTA
1/1/2021,11,2,123,-114,13220,7177,157,5886,PAPUA
1/1/2021,16,1,4,11,5995,5453,99,443,PAPUA BARAT
1/1/2021,299,12,205,82,27375,23010,755,3610,KALIMANTAN TIMUR
1/1/2021,68,5,97,-34,3671,2652,117,902,BENGKULU
1/1/2021,7,0,10,-3,8753,7149,358,1246,ACEH
1/1/2021,84,2,89,-7,18233,15480,681,2072,SUMATERA UTARA
1/1/2021,80,1,40,39,2418,1758,36,624,KEPULAUAN BANGKA BELITUNG
1/1/2021,147,1,115,31,23611,21930,526,1155,SUMATERA BARAT
1/1/2021,80,3,197,-120,6356,4515,277,1564,LAMPUNG
1/1/2021,1956,20,1643,293,185653,166308,3270,16075,DKI JAKARTA
1/1/2021,900,4,574,322,83446,57035,3624,22787,JAWA TENGAH
1/1/2021,19,1,8,10,7014,6058,172,784,KEPULAUAN RIAU
1/1/2021,101,1,76,24,17694,16220,517,957,BALI
1/1/2021,18,0,60,-42,3136,2801,25,310,KALIMANTAN BARAT
1/1/2021,95,0,200,-105,9835,6648,198,2989,KALIMANTAN TENGAH
1/1/2021,53,0,71,-18,9723,7146,310,2267,SULAWESI UTARA
1/1/2021,36,0,34,2,3263,2352,56,855,JAMBI
1/1/2021,65,2,104,-41,3617,1969,108,1540,SULAWESI TENGAH
1/1/2021,25,0,16,9,3865,3323,104,438,GORONTALO
1/1/2021,1376,15,955,406,91592,75875,1461,14256,JAWA BARAT
1/1/2021,862,64,641,157,85261,75476,6431,3354,JAWA TIMUR
1/1/2021,32,1,14,17,5754,4571,72,1111,MALUKU
1/1/2021,550,5,605,-60,31595,26354,598,4643,SULAWESI SELATAN
1/1/2021,74,5,57,12,11900,9418,604,1878,SUMATERA SELATAN
1/1/2021,287,12,188,87,18441,15771,532,2138,BANTEN
1/1/2021,79,0,2,77,7986,6682,147,1157,SULAWESI TENGGARA
1/2/2021,59,2,39,18,5783,4614,263,906,NUSA TENGGARA BARAT
1/2/2021,35,0,3,32,2216,1207,49,960,NUSA TENGGARA TIMUR
1/2/2021,17,2,45,-30,15419,13906,586,927,KALIMANTAN SELATAN
1/2/2021,50,0,120,-70,3879,2267,58,1554,KALIMANTAN UTARA
1/2/2021,6,0,1,5,1960,1553,36,371,SULAWESI BARAT
1/2/2021,9,0,8,1,2782,2361,90,331,MALUKU UTARA
1/2/2021,68,6,128,-66,25181,23348,591,1242,RIAU
1/2/2021,291,2,217,72,12679,8505,274,3900,DAERAH ISTIMEWA YOGYAKARTA
1/2/2021,23,0,108,-85,13243,7285,157,5801,PAPUA
1/2/2021,17,1,33,-17,6012,5486,100,426,PAPUA BARAT
1/2/2021,213,4,235,-26,27588,23245,759,3584,KALIMANTAN TIMUR
1/2/2021,19,1,71,-53,3690,2723,118,849,BENGKULU
1/2/2021,8,0,7,1,8761,7156,358,1247,ACEH
1/2/2021,86,2,82,2,18319,15562,683,2074,SUMATERA UTARA
1/2/2021,60,0,36,24,2478,1794,36,648,KEPULAUAN BANGKA BELITUNG
1/2/2021,38,2,125,-89,23649,22055,528,1066,SUMATERA BARAT
1/2/2021,115,0,6,109,6471,4521,277,1673,LAMPUNG
1/2/2021,1894,26,2280,-412,187547,168588,3296,15663,DKI JAKARTA
1/2/2021,971,92,904,-25,84417,57939,3716,22762,JAWA TENGAH
1/2/2021,19,0,98,-79,7033,6156,172,705,KEPULAUAN RIAU
1/2/2021,165,5,125,35,17859,16345,522,992,BALI
1/2/2021,0,0,0,0,3136,2801,25,310,KALIMANTAN BARAT
1/2/2021,59,0,100,-41,9894,6748,198,2948,KALIMANTAN TENGAH
1/2/2021,60,12,71,-23,9783,7217,322,2244,SULAWESI UTARA
1/2/2021,33,1,29,3,3296,2381,57,858,JAMBI
1/2/2021,66,1,31,34,3683,2000,109,1574,SULAWESI TENGAH
1/2/2021,0,0,30,-30,3865,3353,104,408,GORONTALO
1/2/2021,1214,7,1150,57,92806,77025,1468,14313,JAWA BARAT
1/2/2021,762,70,678,14,86023,76154,6501,3368,JAWA TIMUR
1/2/2021,18,0,34,-16,5772,4605,72,1095,MALUKU
1/2/2021,590,5,36,549,32185,26390,603,5192,SULAWESI SELATAN
1/2/2021,45,1,97,-53,11945,9515,605,1825,SUMATERA SELATAN
1/2/2021,246,9,342,-105,18687,16113,541,2033,BANTEN
1/2/2021,33,2,23,8,8019,6705,149,1165,SULAWESI TENGGARA
1/3/2021,21,0,14,7,5804,4628,263,913,NUSA TENGGARA BARAT
1/3/2021,19,3,66,-50,2235,1273,52,910,NUSA TENGGARA TIMUR
1/3/2021,71,1,80,-10,15490,13986,587,917,KALIMANTAN SELATAN
1/3/2021,114,0,0,114,3993,2267,58,1668,KALIMANTAN UTARA
1/3/2021,24,0,13,11,1984,1566,36,382,SULAWESI BARAT
1/3/2021,5,0,0,5,2787,2361,90,336,MALUKU UTARA
1/3/2021,81,5,156,-80,25262,23504,596,1162,RIAU
1/3/2021,218,13,221,-16,12897,8726,287,3884,DAERAH ISTIMEWA YOGYAKARTA
1/3/2021,27,1,211,-185,13270,7496,158,5616,PAPUA
1/3/2021,15,0,52,-37,6027,5538,100,389,PAPUA BARAT
1/3/2021,305,4,218,83,27893,23463,763,3667,KALIMANTAN TIMUR
1/3/2021,45,0,91,-46,3735,2814,118,803,BENGKULU
1/3/2021,2,0,0,2,8763,7156,358,1249,ACEH
1/3/2021,89,0,84,5,18408,15646,683,2079,SUMATERA UTARA
1/3/2021,60,0,54,6,2538,1848,36,654,KEPULAUAN BANGKA BELITUNG
1/3/2021,61,3,116,-58,23710,22171,531,1008,SUMATERA BARAT
1/3/2021,81,3,42,36,6552,4563,280,1709,LAMPUNG
1/3/2021,1658,10,1691,-43,189205,170279,3306,15620,DKI JAKARTA
1/3/2021,929,65,405,459,85346,58344,3781,23221,JAWA TENGAH
1/3/2021,13,0,21,-8,7046,6177,172,697,KEPULAUAN RIAU
1/3/2021,119,0,84,35,17978,16429,522,1027,BALI
1/3/2021,24,0,52,-28,3160,2853,25,282,KALIMANTAN BARAT
1/3/2021,64,0,200,-136,9958,6948,198,2812,KALIMANTAN TENGAH
1/3/2021,81,0,19,62,9864,7236,322,2306,SULAWESI UTARA
1/3/2021,26,1,1,24,3322,2382,58,882,JAMBI
1/3/2021,67,3,33,31,3750,2033,112,1605,SULAWESI TENGAH
1/3/2021,1,0,35,-34,3866,3388,104,374,GORONTALO
1/3/2021,916,7,825,84,93722,77850,1475,14397,JAWA BARAT
1/3/2021,571,49,535,-13,86594,76689,6550,3355,JAWA TIMUR
1/3/2021,9,0,23,-14,5781,4628,72,1081,MALUKU
1/3/2021,595,3,56,536,32780,26446,606,5728,SULAWESI SELATAN
1/3/2021,53,0,81,-28,11998,9596,605,1797,SUMATERA SELATAN
1/3/2021,136,2,127,7,18823,16240,543,2040,BANTEN
1/3/2021,34,2,0,32,8053,6705,151,1197,SULAWESI TENGGARA
1/4/2021,43,0,13,30,5847,4641,263,943,NUSA TENGGARA BARAT
1/4/2021,4,0,16,-12,2239,1289,52,898,NUSA TENGGARA TIMUR
1/4/2021,20,2,69,-51,15510,14055,589,866,KALIMANTAN SELATAN
1/4/2021,166,0,1,165,4159,2268,58,1833,KALIMANTAN UTARA
1/4/2021,22,2,0,20,2006,1566,38,402,SULAWESI BARAT
1/4/2021,9,1,0,8,2796,2361,91,344,MALUKU UTARA
1/4/2021,110,2,96,12,25372,23600,598,1174,RIAU
1/4/2021,146,3,133,10,13043,8859,290,3894,DAERAH ISTIMEWA YOGYAKARTA
1/4/2021,36,1,124,-89,13306,7620,159,5527,PAPUA
1/4/2021,11,0,37,-26,6038,5575,100,363,PAPUA BARAT
1/4/2021,185,6,192,-13,28078,23655,769,3654,KALIMANTAN TIMUR
1/4/2021,24,1,81,-58,3759,2895,119,745,BENGKULU
1/4/2021,5,0,10,-5,8768,7166,358,1244,ACEH
1/4/2021,92,1,88,3,18500,15734,684,2082,SUMATERA UTARA
1/4/2021,50,3,45,2,2588,1893,39,656,KEPULAUAN BANGKA BELITUNG
1/4/2021,24,3,141,-120,23734,22312,534,888,SUMATERA BARAT
1/4/2021,62,7,96,-41,6614,4659,287,1668,LAMPUNG
1/4/2021,1832,21,2527,-716,191037,172806,3327,14904,DKI JAKARTA
1/4/2021,1038,12,731,295,86384,59075,3793,23516,JAWA TENGAH
1/4/2021,63,0,52,11,7109,6229,172,708,KEPULAUAN RIAU
1/4/2021,118,8,114,-4,18096,16543,530,1023,BALI
1/4/2021,0,0,0,0,3160,2853,25,282,KALIMANTAN BARAT
1/4/2021,24,0,214,-190,9982,7162,198,2622,KALIMANTAN TENGAH
1/4/2021,58,0,33,25,9922,7269,322,2331,SULAWESI UTARA
1/4/2021,14,0,15,-1,3336,2397,58,881,JAMBI
1/4/2021,52,3,77,-28,3802,2110,115,1577,SULAWESI TENGAH
1/4/2021,13,0,16,-3,3879,3404,104,371,GORONTALO
1/4/2021,1224,8,1066,150,94946,78916,1483,14547,JAWA BARAT
1/4/2021,673,49,501,123,87267,77190,6599,3478,JAWA TIMUR
1/4/2021,6,3,20,-17,5787,4648,75,1064,MALUKU
1/4/2021,510,2,313,195,33290,26759,608,5923,SULAWESI SELATAN
1/4/2021,54,0,68,-14,12052,9664,605,1783,SUMATERA SELATAN
1/4/2021,158,4,250,-96,18981,16490,547,1944,BANTEN
1/4/2021,17,1,105,-89,8070,6810,152,1108,SULAWESI TENGGARA
1/5/2021,13,0,0,13,5860,4641,263,956,NUSA TENGGARA BARAT
1/5/2021,57,2,14,41,2296,1303,54,939,NUSA TENGGARA TIMUR
1/5/2021,81,1,59,21,15591,14114,590,887,KALIMANTAN SELATAN
1/5/2021,89,5,1,83,4248,2269,63,1916,KALIMANTAN UTARA
1/5/2021,4,1,4,-1,2010,1570,39,401,SULAWESI BARAT
1/5/2021,22,0,2,20,2818,2363,91,364,MALUKU UTARA
1/5/2021,160,2,92,66,25532,23692,600,1240,RIAU
1/5/2021,297,3,45,249,13340,8904,293,4143,DAERAH ISTIMEWA YOGYAKARTA
1/5/2021,67,1,102,-36,13373,7722,160,5491,PAPUA
1/5/2021,31,0,24,7,6069,5599,100,370,PAPUA BARAT
1/5/2021,281,8,275,-2,28359,23930,777,3652,KALIMANTAN TIMUR
1/5/2021,20,0,75,-55,3779,2970,119,690,BENGKULU
1/5/2021,8,2,17,-11,8776,7183,360,1233,ACEH
1/5/2021,86,2,83,1,18586,15817,686,2083,SUMATERA UTARA
1/5/2021,51,3,88,-40,2639,1981,42,616,KEPULAUAN BANGKA BELITUNG
1/5/2021,72,2,141,-71,23806,22453,536,817,SUMATERA BARAT
1/5/2021,82,5,66,11,6696,4725,292,1679,LAMPUNG
1/5/2021,1824,19,1339,466,192861,174145,3346,15370,DKI JAKARTA
1/5/2021,994,22,1327,-355,87378,60402,3815,23161,JAWA TENGAH
1/5/2021,30,2,55,-27,7139,6284,174,681,KEPULAUAN RIAU
1/5/2021,167,1,126,40,18263,16669,531,1063,BALI
1/5/2021,29,1,26,2,3189,2879,26,284,KALIMANTAN BARAT
1/5/2021,60,0,3,57,10042,7165,198,2679,KALIMANTAN TENGAH
1/5/2021,35,0,10,25,9957,7279,322,2356,SULAWESI UTARA
1/5/2021,20,0,43,-23,3356,2440,58,858,JAMBI
1/5/2021,94,3,52,39,3896,2162,118,1616,SULAWESI TENGAH
1/5/2021,8,0,33,-25,3887,3437,104,346,GORONTALO
1/5/2021,1203,12,1024,167,96149,79940,1495,14714,JAWA BARAT
1/5/2021,673,61,502,110,87940,77692,6660,3588,JAWA TIMUR
1/5/2021,35,0,144,-109,5822,4792,75,955,MALUKU
1/5/2021,639,6,774,-141,33929,27533,614,5782,SULAWESI SELATAN
1/5/2021,66,2,56,8,12118,9720,607,1791,SUMATERA SELATAN
1/5/2021,164,8,203,-47,19145,16693,555,1897,BANTEN
1/5/2021,30,2,102,-74,8100,6912,154,1034,SULAWESI TENGGARA
1/6/2021,42,1,12,29,5902,4653,264,985,NUSA TENGGARA BARAT
1/6/2021,24,1,38,-15,2320,1341,55,924,NUSA TENGGARA TIMUR
1/6/2021,88,2,59,27,15679,14173,592,914,KALIMANTAN SELATAN
1/6/2021,205,0,123,82,4453,2392,63,1998,KALIMANTAN UTARA
1/6/2021,10,1,9,0,2020,1579,40,401,SULAWESI BARAT
1/6/2021,20,0,0,20,2838,2363,91,384,MALUKU UTARA
1/6/2021,169,1,115,53,25701,23807,601,1293,RIAU
1/6/2021,272,4,290,-22,13612,9194,297,4121,DAERAH ISTIMEWA YOGYAKARTA
1/6/2021,58,1,119,-62,13431,7841,161,5429,PAPUA
1/6/2021,12,0,17,-5,6081,5616,100,365,PAPUA BARAT
1/6/2021,375,5,182,188,28734,24112,782,3840,KALIMANTAN TIMUR
1/6/2021,42,2,70,-30,3821,3040,121,660,BENGKULU
1/6/2021,29,0,14,15,8805,7197,360,1248,ACEH
1/6/2021,87,3,89,-5,18673,15906,689,2078,SUMATERA UTARA
1/6/2021,78,3,74,1,2717,2055,45,617,KEPULAUAN BANGKA BELITUNG
1/6/2021,178,4,123,51,23984,22576,540,868,SUMATERA BARAT
1/6/2021,87,33,96,-42,6783,4821,325,1637,LAMPUNG
1/6/2021,2402,17,1095,1290,195263,175240,3363,16660,DKI JAKARTA
1/6/2021,1023,47,1025,-49,88401,61427,3862,23112,JAWA TENGAH
1/6/2021,25,0,58,-33,7164,6342,174,648,KEPULAUAN RIAU
1/6/2021,191,11,170,10,18454,16839,542,1073,BALI
1/6/2021,24,0,38,-14,3213,2917,26,270,KALIMANTAN BARAT
1/6/2021,66,0,203,-137,10108,7368,198,2542,KALIMANTAN TENGAH
1/6/2021,42,1,74,-33,9999,7353,323,2323,SULAWESI UTARA
1/6/2021,41,0,29,12,3397,2469,58,870,JAMBI
1/6/2021,162,0,150,12,4058,2312,118,1628,SULAWESI TENGAH
1/6/2021,0,0,22,-22,3887,3459,104,324,GORONTALO
1/6/2021,1255,19,1594,-358,97404,81534,1514,14356,JAWA BARAT
1/6/2021,803,51,905,-153,88743,78597,6711,3435,JAWA TIMUR
1/6/2021,3,0,14,-11,5825,4806,75,944,MALUKU
1/6/2021,463,4,1407,-948,34392,28940,618,4834,SULAWESI SELATAN
1/6/2021,99,3,99,-3,12217,9819,610,1788,SUMATERA SELATAN
1/6/2021,189,5,131,53,19334,16824,560,1950,BANTEN
1/6/2021,34,2,99,-67,8134,7011,156,967,SULAWESI TENGGARA
1/7/2021,59,0,46,13,5961,4699,264,998,NUSA TENGGARA BARAT
1/7/2021,79,0,52,27,2399,1393,55,951,NUSA TENGGARA TIMUR
1/7/2021,93,0,47,46,15772,14220,592,960,KALIMANTAN SELATAN
1/7/2021,178,2,69,107,4631,2461,65,2105,KALIMANTAN UTARA
1/7/2021,33,4,21,8,2053,1600,44,409,SULAWESI BARAT
1/7/2021,25,0,19,6,2863,2382,91,390,MALUKU UTARA
1/7/2021,139,1,93,45,25840,23900,602,1338,RIAU
1/7/2021,355,4,180,171,13967,9374,301,4292,DAERAH ISTIMEWA YOGYAKARTA
1/7/2021,47,1,105,-59,13478,7946,162,5370,PAPUA
1/7/2021,32,0,6,26,6113,5622,100,391,PAPUA BARAT
1/7/2021,479,7,262,210,29213,24374,789,4050,KALIMANTAN TIMUR
1/7/2021,121,2,75,44,3942,3115,123,704,BENGKULU
1/7/2021,31,3,84,-56,8836,7281,363,1192,ACEH
1/7/2021,83,2,84,-3,18756,15990,691,2075,SUMATERA UTARA
1/7/2021,47,3,80,-36,2764,2135,48,581,KEPULAUAN BANGKA BELITUNG
1/7/2021,171,4,23,144,24155,22599,544,1012,SUMATERA BARAT
1/7/2021,92,13,53,26,6875,4874,338,1663,LAMPUNG
1/7/2021,2398,21,1446,931,197661,176686,3384,17591,DKI JAKARTA
1/7/2021,996,46,699,251,89397,62126,3908,23363,JAWA TENGAH
1/7/2021,22,2,8,12,7186,6350,176,660,KEPULAUAN RIAU
1/7/2021,189,5,147,37,18643,16986,547,1110,BALI
1/7/2021,26,0,35,-9,3239,2952,26,261,KALIMANTAN BARAT
1/7/2021,76,0,302,-226,10184,7670,198,2316,KALIMANTAN TENGAH
1/7/2021,81,4,41,36,10080,7394,327,2359,SULAWESI UTARA
1/7/2021,57,0,48,9,3454,2517,58,879,JAMBI
1/7/2021,157,1,20,136,4215,2332,119,1764,SULAWESI TENGAH
1/7/2021,46,0,67,-21,3933,3526,104,303,GORONTALO
1/7/2021,1203,5,1136,62,98607,82670,1519,14418,JAWA BARAT
1/7/2021,879,81,559,239,89622,79156,6792,3674,JAWA TIMUR
1/7/2021,1,0,19,-18,5826,4825,75,926,MALUKU
1/7/2021,366,8,1122,-764,34758,30062,626,4070,SULAWESI SELATAN
1/7/2021,63,3,85,-25,12280,9904,613,1763,SUMATERA SELATAN
1/7/2021,364,7,211,146,19698,17035,567,2096,BANTEN
1/7/2021,49,1,2,46,8183,7013,157,1013,SULAWESI TENGGARA
1/8/2021,37,0,102,-65,5998,4801,264,933,NUSA TENGGARA BARAT
1/8/2021,51,0,85,-34,2450,1478,55,917,NUSA TENGGARA TIMUR
1/8/2021,89,1,46,42,15861,14266,593,1002,KALIMANTAN SELATAN
1/8/2021,63,0,1,62,4694,2462,65,2167,KALIMANTAN UTARA
1/8/2021,47,1,19,27,2100,1619,45,436,SULAWESI BARAT
1/8/2021,12,1,18,-7,2875,2400,92,383,MALUKU UTARA
1/8/2021,192,5,114,73,26032,24014,607,1411,RIAU
1/8/2021,379,7,147,225,14346,9521,308,4517,DAERAH ISTIMEWA YOGYAKARTA
1/8/2021,70,3,116,-49,13548,8062,165,5321,PAPUA
1/8/2021,25,1,37,-13,6138,5659,101,378,PAPUA BARAT
1/8/2021,512,8,254,250,29725,24628,797,4300,KALIMANTAN TIMUR
1/8/2021,32,1,62,-31,3974,3177,124,673,BENGKULU
1/8/2021,42,0,5,37,8878,7286,363,1229,ACEH
1/8/2021,92,4,80,8,18848,16070,695,2083,SUMATERA UTARA
1/8/2021,75,0,49,26,2839,2184,48,607,KEPULAUAN BANGKA BELITUNG
1/8/2021,167,0,23,144,24322,22622,544,1156,SUMATERA BARAT
1/8/2021,122,2,47,73,6997,4921,340,1736,LAMPUNG
1/8/2021,2959,24,2690,245,200620,179376,3408,17836,DKI JAKARTA
1/8/2021,1072,58,820,194,90469,62946,3966,23557,JAWA TENGAH
1/8/2021,26,0,49,-23,7212,6399,176,637,KEPULAUAN RIAU
1/8/2021,231,3,105,123,18874,17091,550,1233,BALI
1/8/2021,33,0,28,5,3272,2980,26,266,KALIMANTAN BARAT
1/8/2021,114,0,123,-9,10298,7793,198,2307,KALIMANTAN TENGAH
1/8/2021,77,4,95,-22,10157,7489,331,2337,SULAWESI UTARA
1/8/2021,72,0,33,39,3526,2550,58,918,JAMBI
1/8/2021,158,1,70,87,4373,2402,120,1851,SULAWESI TENGAH
1/8/2021,15,1,32,-18,3948,3558,105,285,GORONTALO
1/8/2021,1775,10,916,849,100382,83586,1529,15267,JAWA BARAT
1/8/2021,977,70,625,282,90599,79781,6862,3956,JAWA TIMUR
1/8/2021,0,0,22,-22,5826,4847,75,904,MALUKU
1/8/2021,588,7,509,72,35346,30571,633,4142,SULAWESI SELATAN
1/8/2021,102,0,40,62,12382,9944,613,1825,SUMATERA SELATAN
1/8/2021,253,6,213,34,19951,17248,573,2130,BANTEN
1/8/2021,62,1,1,60,8245,7014,158,1073,SULAWESI TENGGARA
1/9/2021,70,0,88,-18,6068,4889,264,915,NUSA TENGGARA BARAT
1/9/2021,31,1,16,14,2481,1494,56,931,NUSA TENGGARA TIMUR
1/9/2021,98,1,61,36,15959,14327,594,1038,KALIMANTAN SELATAN
1/9/2021,82,0,3,79,4776,2465,65,2246,KALIMANTAN UTARA
1/9/2021,86,1,11,74,2186,1630,46,510,SULAWESI BARAT
1/9/2021,13,0,40,-27,2888,2440,92,356,MALUKU UTARA
1/9/2021,134,7,153,-26,26166,24167,614,1385,RIAU
1/9/2021,301,7,136,158,14647,9657,315,4675,DAERAH ISTIMEWA YOGYAKARTA
1/9/2021,75,2,13,60,13623,8075,167,5381,PAPUA
1/9/2021,23,1,4,18,6161,5663,102,396,PAPUA BARAT
1/9/2021,394,7,194,193,30119,24822,804,4493,KALIMANTAN TIMUR
1/9/2021,39,2,91,-54,4013,3268,126,619,BENGKULU
1/9/2021,16,1,7,8,8894,7293,364,1237,ACEH
1/9/2021,89,1,91,-3,18937,16161,696,2080,SUMATERA UTARA
1/9/2021,71,0,39,32,2910,2223,48,639,KEPULAUAN BANGKA BELITUNG
1/9/2021,182,1,19,162,24504,22641,545,1318,SUMATERA BARAT
1/9/2021,119,6,22,91,7116,4943,346,1827,LAMPUNG
1/9/2021,2753,27,2118,608,203373,181494,3435,18444,DKI JAKARTA
1/9/2021,1034,23,271,740,91503,63217,3989,24297,JAWA TENGAH
1/9/2021,60,1,100,-41,7272,6499,177,596,KEPULAUAN RIAU
1/9/2021,189,4,100,85,19063,17191,554,1318,BALI
1/9/2021,47,0,22,25,3319,3002,26,291,KALIMANTAN BARAT
1/9/2021,54,0,100,-46,10352,7893,198,2261,KALIMANTAN TENGAH
1/9/2021,143,1,9,133,10300,7498,332,2470,SULAWESI UTARA
1/9/2021,44,0,42,2,3570,2592,58,920,JAMBI
1/9/2021,131,4,73,54,4504,2475,124,1905,SULAWESI TENGAH
1/9/2021,12,0,4,8,3960,3562,105,293,GORONTALO
1/9/2021,1628,9,1139,480,102010,84725,1538,15747,JAWA BARAT
1/9/2021,1014,50,591,373,91613,80372,6912,4329,JAWA TIMUR
1/9/2021,33,0,6,27,5859,4853,75,931,MALUKU
1/9/2021,580,7,246,327,35926,30817,640,4469,SULAWESI SELATAN
1/9/2021,89,1,78,10,12471,10022,614,1835,SUMATERA SELATAN
1/9/2021,275,7,166,102,20226,17414,580,2232,BANTEN
1/9/2021,56,2,11,43,8301,7025,160,1116,SULAWESI TENGGARA
1/10/2021,68,0,98,-30,6136,4987,264,885,NUSA TENGGARA BARAT
1/10/2021,45,3,14,28,2526,1508,59,959,NUSA TENGGARA TIMUR
1/10/2021,120,3,45,72,16079,14372,597,1110,KALIMANTAN SELATAN
1/10/2021,67,0,0,67,4843,2465,65,2313,KALIMANTAN UTARA
1/10/2021,99,2,23,74,2285,1653,48,584,SULAWESI BARAT
1/10/2021,52,0,46,6,2940,2486,92,362,MALUKU UTARA
1/10/2021,166,3,108,55,26332,24275,617,1440,RIAU
1/10/2021,282,9,234,39,14929,9891,324,4714,DAERAH ISTIMEWA YOGYAKARTA
1/10/2021,32,3,8,21,13655,8083,170,5402,PAPUA
1/10/2021,27,0,0,27,6188,5663,102,423,PAPUA BARAT
1/10/2021,393,4,315,74,30512,25137,808,4567,KALIMANTAN TIMUR
1/10/2021,49,1,101,-53,4062,3369,127,566,BENGKULU
1/10/2021,15,0,14,1,8909,7307,364,1238,ACEH
1/10/2021,90,1,86,3,19027,16247,697,2083,SUMATERA UTARA
1/10/2021,96,4,89,3,3006,2312,52,642,KEPULAUAN BANGKA BELITUNG
1/10/2021,5,0,12,-7,24509,22653,545,1311,SUMATERA BARAT
1/10/2021,97,3,46,48,7213,4989,349,1875,LAMPUNG
1/10/2021,2711,31,2898,-218,206084,184392,3466,18226,DKI JAKARTA
1/10/2021,1046,17,138,891,92549,63355,4006,25188,JAWA TENGAH
1/10/2021,34,0,39,-5,7306,6538,177,591,KEPULAUAN RIAU
1/10/2021,169,2,137,30,19232,17328,556,1348,BALI
1/10/2021,29,0,31,-2,3348,3033,26,289,KALIMANTAN BARAT
1/10/2021,94,1,200,-107,10446,8093,199,2154,KALIMANTAN TENGAH
1/10/2021,170,2,13,155,10470,7511,334,2625,SULAWESI UTARA
1/10/2021,31,1,17,13,3601,2609,59,933,JAMBI
1/10/2021,145,0,40,105,4649,2515,124,2010,SULAWESI TENGAH
1/10/2021,8,1,44,-37,3968,3606,106,256,GORONTALO
1/10/2021,1341,9,969,363,103351,85694,1547,16110,JAWA BARAT
1/10/2021,947,56,818,73,92560,81190,6968,4402,JAWA TIMUR
1/10/2021,22,0,1,21,5881,4854,75,952,MALUKU
1/10/2021,585,7,543,35,36511,31360,647,4504,SULAWESI SELATAN
1/10/2021,51,5,66,-20,12522,10088,619,1815,SUMATERA SELATAN
1/10/2021,272,7,209,56,20498,17623,587,2288,BANTEN
1/10/2021,99,0,0,99,8400,7025,160,1215,SULAWESI TENGGARA
1/11/2021,43,0,72,-29,6179,5059,264,856,NUSA TENGGARA BARAT
1/11/2021,12,1,63,-52,2538,1571,60,907,NUSA TENGGARA TIMUR
1/11/2021,114,2,59,53,16193,14431,599,1163,KALIMANTAN SELATAN
1/11/2021,134,0,1,133,4977,2466,65,2446,KALIMANTAN UTARA
1/11/2021,11,1,11,-1,2296,1664,49,583,SULAWESI BARAT
1/11/2021,9,0,13,-4,2949,2499,92,358,MALUKU UTARA
1/11/2021,88,2,98,-12,26420,24373,619,1428,RIAU
1/11/2021,285,9,200,76,15214,10091,333,4790,DAERAH ISTIMEWA YOGYAKARTA
1/11/2021,63,0,13,50,13718,8096,170,5452,PAPUA
1/11/2021,26,0,20,6,6214,5683,102,429,PAPUA BARAT
1/11/2021,227,11,309,-93,30739,25446,819,4474,KALIMANTAN TIMUR
1/11/2021,7,2,101,-96,4069,3470,129,470,BENGKULU
1/11/2021,10,0,1,9,8919,7308,364,1247,ACEH
1/11/2021,95,3,89,3,19122,16336,700,2086,SUMATERA UTARA
1/11/2021,91,1,63,27,3097,2375,53,669,KEPULAUAN BANGKA BELITUNG
1/11/2021,0,3,24,-27,24509,22677,548,1284,SUMATERA BARAT
1/11/2021,135,5,99,31,7348,5088,354,1906,LAMPUNG
1/11/2021,2461,31,2510,-80,208545,186902,3497,18146,DKI JAKARTA
1/11/2021,1051,31,790,230,93600,64145,4037,25418,JAWA TENGAH
1/11/2021,19,0,23,-4,7325,6561,177,587,KEPULAUAN RIAU
1/11/2021,253,4,135,114,19485,17463,560,1462,BALI
1/11/2021,0,0,0,0,3348,3033,26,289,KALIMANTAN BARAT
1/11/2021,60,1,107,-48,10506,8200,200,2106,KALIMANTAN TENGAH
1/11/2021,150,7,162,-19,10620,7673,341,2606,SULAWESI UTARA
1/11/2021,14,0,10,4,3615,2619,59,937,JAMBI
1/11/2021,116,6,95,15,4765,2610,130,2025,SULAWESI TENGAH
1/11/2021,11,0,21,-10,3979,3627,106,246,GORONTALO
1/11/2021,1295,14,1229,52,104646,86923,1561,16162,JAWA BARAT
1/11/2021,845,47,486,312,93405,81676,7015,4714,JAWA TIMUR
1/11/2021,70,0,3,67,5951,4857,75,1019,MALUKU
1/11/2021,615,2,359,254,37126,31719,649,4758,SULAWESI SELATAN
1/11/2021,48,2,57,-11,12570,10145,621,1804,SUMATERA SELATAN
1/11/2021,177,5,196,-24,20675,17819,592,2264,BANTEN
1/11/2021,29,1,39,-11,8429,7064,161,1204,SULAWESI TENGGARA
